Numero;ID;Titulo;Preco;Preco_Promocional;Categorias;Descricao_Curta;Descricao_Completa;Status;Condicao;Marca;Qtd_Fotos;Pasta_Fotos;Fotos_Locais;URL_Foto_Destaque
23;"e54f6a1f-a72a-40e8-b649-63ac5890847e";"Camisas Hard Adventure Proteção UV50+";320,00;290,00;"Camisas";"Em até 3x nos cartões ou 5% OFF no pix";"A camisa técnica Hard Safari UV50+ da Hard Adventure é uma opção perfeita para quem busca alto desempenho em atividades ao ar livre, viagens, aventuras e atividades de campo. Desenvolvida com tecido 100% poliamida de qualidade superior, esta camisa esportiva oferece uma série de benefícios. Seu tecido é reconhecido mundialmente por seu excelente gerenciamento de umidade, proporcionando maior respirabilidade e facilitando a troca de ar. Isso mantém o microclima estável, garantindo uma temperatura corporal adequada e mantendo o corpo seco durante toda a atividade. Oferece fator de Proteção Ultravioleta (FPU) de 50+ conforme a norma AS/NZS 4399:1996. Você pode confiar na sua capacidade de proteger sua pele dos raios UV prejudiciais enquanto aproveita suas atividades ao ar livre. O resultado é uma melhor performance e um conforto excepcional em qualquer ambiente outdoor.";"disponivel";"novo";"Marruá Empório/Ginete";5;"imagens/23 - Camisas Hard Adventure Proteção UV50+";"imagens/23 - Camisas Hard Adventure Proteção UV50+/foto_01.jpg | imagens/23 - Camisas Hard Adventure Proteção UV50+/foto_02.jpg | imagens/23 - Camisas Hard Adventure Proteção UV50+/foto_03.jpg | imagens/23 - Camisas Hard Adventure Proteção UV50+/foto_04.jpg | imagens/23 - Camisas Hard Adventure Proteção UV50+/foto_05.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/e54f6a1f-a72a-40e8-b649-63ac5890847e-0-0.13683914716909507.jpg"
24;"c82d4ed4-ba84-4984-86f3-41ff64415693";"Faca 8"" aço inoxidável, com chaira e bainha de couro.";260,00;250,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 8"", cabo de madeira curvo, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/24 - Faca 8_ aço inoxidável, com chaira e bainha de couro.";"imagens/24 - Faca 8_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/c82d4ed4-ba84-4984-86f3-41ff64415693-0-0.25700864615341745.png"
25;"9b3ebd86-4e89-4652-bfd5-ff8fbe1bb9fb";"Faca 9"" aço inoxidável, com chaira e bainha de couro.";300,00;290,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca e chaira 9"", cabo de madeira curvo, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/25 - Faca 9_ aço inoxidável, com chaira e bainha de couro.";"imagens/25 - Faca 9_ aço inoxidável, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/9b3ebd86-4e89-4652-bfd5-ff8fbe1bb9fb-0-0.7403664501285185.png"
26;"77d00eef-6673-497b-bf98-6897ec94a00f";"Faca trio 9"", com chaira e bainha de couro.";340,00;320,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca, chaira e garfo 9"", cabo de osso, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/26 - Faca trio 9_, com chaira e bainha de couro.";"imagens/26 - Faca trio 9_, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/77d00eef-6673-497b-bf98-6897ec94a00f-0-0.4605692847089883.png"
27;"f5242e4e-8ae8-45e3-9016-a4c1fdc8621c";"Faca trio 9"", com chaira e bainha de couro.";340,00;320,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca, chaira e garfo 9"", cabo chifre e madeira, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/27 - Faca trio 9_, com chaira e bainha de couro.";"imagens/27 - Faca trio 9_, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/f5242e4e-8ae8-45e3-9016-a4c1fdc8621c-0-0.3660009008209999.png"
28;"bbe5a556-8adb-4a95-99f4-dcff6f20785b";"Faca trio 9"", com chaira e bainha de couro.";340,00;320,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca, chaira e garfo 9"", cabo chifre e osso, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/28 - Faca trio 9_, com chaira e bainha de couro.";"imagens/28 - Faca trio 9_, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/bbe5a556-8adb-4a95-99f4-dcff6f20785b-0-0.5349562039852753.png"
29;"df30e2de-bc66-4c46-b740-1b4cd717169a";"Faca trio 9"", com chaira e bainha de couro.";340,00;320,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Conjunto faca, chaira e garfo 9"", cabo de madeira e osso, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/29 - Faca trio 9_, com chaira e bainha de couro.";"imagens/29 - Faca trio 9_, com chaira e bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/df30e2de-bc66-4c46-b740-1b4cd717169a-0-0.12511052167782777.png"
30;"8460b56c-554f-4aff-a567-96575a791977";"Faca curva 6"", bainha de couro.";180,00;160,00;"Facas";"Em até 3x nos cartões ou 5% OFF no pix";"Faca curva 6"", cabo de madeira, aço inox 420, com bainha de couro.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/30 - Faca curva 6_, bainha de couro.";"imagens/30 - Faca curva 6_, bainha de couro./foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/8460b56c-554f-4aff-a567-96575a791977-0-0.9563679680614582.png"
31;"7f11183e-9691-4af4-81ca-75b13521d4c7";"Canivete aço inox";70,00;60,00;"Canivete";"Em até 3x nos cartões ou 5% OFF no pix";"Canivete aço inox com cabo de madeira e clip, lâmina preta.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/31 - Canivete aço inox";"imagens/31 - Canivete aço inox/foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/7f11183e-9691-4af4-81ca-75b13521d4c7-0-0.2121650091305376.png"
32;"4369d71e-e7db-4e54-a4be-d94002789a55";"Canivete aço inox";95,00;89,00;"Canivete";"Em até 3x nos cartões ou 5% OFF no pix";"Canivete aço inox modelo baga de soja CIMO.";"disponivel";"novo";"Marruá Empório/Ginete";1;"imagens/32 - Canivete aço inox";"imagens/32 - Canivete aço inox/foto_01.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/4369d71e-e7db-4e54-a4be-d94002789a55-0-0.5880037180091486.png"
33;"f62a958b-326a-4e88-9716-5d1a9579bbf6";"Kit Pizza";290,00;260,00;"Kits";"Em até 3x nos cartões ou 5% OFF no pix";"Kit pizza, tabua de corte em teka, espátula e cortador com cabo de madeira, duas taças de cerveja de vidro e caixa em MDF com pintura black.";"disponivel";"novo";"Marruá Empório";5;"imagens/33 - Kit Pizza";"imagens/33 - Kit Pizza/foto_01.jpeg | imagens/33 - Kit Pizza/foto_02.jpeg | imagens/33 - Kit Pizza/foto_03.jpeg | imagens/33 - Kit Pizza/foto_04.jpeg | imagens/33 - Kit Pizza/foto_05.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/f62a958b-326a-4e88-9716-5d1a9579bbf6-3-0.8676054694848839.jpeg"
34;"3f49a3cf-6dc9-4fa9-b6ef-9c4f42cccb3d";"Kit Social Agrônomo 01 ";260,00;230,00;"Kits";"Em até 3x nos cartões ou 5% OFF no pix";"Kit Social para Agrônomos, com lupa de aço inox, canivete de aço inox com cabo de madeira e clip de bolso e chaveiro mosquetão modelo soja, com caixa em MDF com pintura black.";"disponivel";"novo";"Marruá Empório";2;"imagens/34 - Kit Social Agrônomo 01";"imagens/34 - Kit Social Agrônomo 01/foto_01.jpeg | imagens/34 - Kit Social Agrônomo 01/foto_02.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/3f49a3cf-6dc9-4fa9-b6ef-9c4f42cccb3d-0-0.4392329392581167.jpeg"
35;"27f63540-b513-4cee-a164-1507cc2d12bd";"Kit Vinho";490,00;;"Kits";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Kit vinho, tábua de frios com garfo e cortador, 2 taças de cristal, abridor de vinho e bico dosador, vinho (cordeiro em pele de lobo, ou a combinar), e caixa em MDF com pintura black.";"disponivel";"novo";"Marruá Empório";4;"imagens/35 - Kit Vinho";"imagens/35 - Kit Vinho/foto_01.jpg | imagens/35 - Kit Vinho/foto_02.jpg | imagens/35 - Kit Vinho/foto_03.jpg | imagens/35 - Kit Vinho/foto_04.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/product/d067d5fa-8c5a-47cf-8ad9-86649aad37f5/product-27f63540-b513-4cee-a164-1507cc2d12bd-1782394450220-2ypb0f6kp.jpg"
36;"c8fb249d-d97c-405f-ba01-caac25fe519f";"Sacola de Algodão Cru";33,00;;"Mochilas Sacolas Bolsas";"";"Sacola de Algodão Cru, com personalização, consultar tamanhos e disponibilidade.";"disponivel";"novo";"Marruá Empório";2;"imagens/36 - Sacola de Algodão Cru";"imagens/36 - Sacola de Algodão Cru/foto_01.jpeg | imagens/36 - Sacola de Algodão Cru/foto_02.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/c8fb249d-d97c-405f-ba01-caac25fe519f-0-0.10121301724269116.jpeg"
37;"63d4a442-45b2-4f49-b7cc-b9f66668dfd1";"Nécessaire de couro";250,00;;"Mochilas Sacolas Bolsas";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Nécessaire de couro, dois compartimentos, dois bolsos, com alça para transporte.";"disponivel";"novo";"Marruá Empório";4;"imagens/37 - Nécessaire de couro";"imagens/37 - Nécessaire de couro/foto_01.jpg | imagens/37 - Nécessaire de couro/foto_02.jpg | imagens/37 - Nécessaire de couro/foto_03.jpeg | imagens/37 - Nécessaire de couro/foto_04.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/63d4a442-45b2-4f49-b7cc-b9f66668dfd1-1-0.9630819990422272.jpeg"
38;"86d40c4c-f687-4d5f-b003-df06d92a4a3f";"Kit temperos ";90,00;;"Kits, Novidades";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Kit temperos, pimenta Sweet Chilli, Sal de Parrilla, Sal de Parrilla mostarda e gengibre, Farofa, todos produtos Cantagallo, com caixa em MDF.";"disponivel";"novo";"Marruá Empório";3;"imagens/38 - Kit temperos";"imagens/38 - Kit temperos/foto_01.jpg | imagens/38 - Kit temperos/foto_02.jpg | imagens/38 - Kit temperos/foto_03.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/86d40c4c-f687-4d5f-b003-df06d92a4a3f-0-0.2652683982379642.jpg"
39;"5b1e6dc3-cf1b-4db6-99db-f7a8b1a9f9ec";"Chaveiro inox";16,00;;"Chaveiros";"";"Chaveiro inox com placa para personalização.";"disponivel";"novo";"Marruá Empório";1;"imagens/39 - Chaveiro inox";"imagens/39 - Chaveiro inox/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/5b1e6dc3-cf1b-4db6-99db-f7a8b1a9f9ec-0-0.7217308598953298.jpeg"
40;"9f6d82ee-44a9-4263-ad65-d2c3b9d17ebc";"Kit Vinho";640,00;;"Kits";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Kit vinho, tábua deslizante de frios com cortador e garfo, abridor de vinhos e bico dosador, 2 taças de cristal, vinho(lobo em pele de cordeiro ou a combinar), e caixa em MDF com pintura black.";"disponivel";"novo";"Marruá Empório";2;"imagens/40 - Kit Vinho";"imagens/40 - Kit Vinho/foto_01.jpg | imagens/40 - Kit Vinho/foto_02.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/9f6d82ee-44a9-4263-ad65-d2c3b9d17ebc-1-0.5588528386131362.jpg"
41;"f67213a7-bba5-47ce-b8fa-e5dedad322ab";"Porta Jóias";50,00;;"Mochilas Sacolas Bolsas";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Porta-joias de couro sintético com revestimento aveludado. Cada compartimento interno é pensado para guardar anéis, brincos, pulseiras e colares com elegância e organização. Consultar cores.";"disponivel";"novo";"Marruá Empório";1;"imagens/41 - Porta Jóias";"imagens/41 - Porta Jóias/foto_01.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/f67213a7-bba5-47ce-b8fa-e5dedad322ab-0-0.780622300185843.jpg"
42;"231c1b0b-7b6f-4b2e-a839-eb11eb83805d";"Lupa ";55,00;;"Agrônomo";"";"Lupa de análise, com Led e personalização.";"disponivel";"novo";"Marruá Empório";3;"imagens/42 - Lupa";"imagens/42 - Lupa/foto_01.jpg | imagens/42 - Lupa/foto_02.jpg | imagens/42 - Lupa/foto_03.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/product/d067d5fa-8c5a-47cf-8ad9-86649aad37f5/product-231c1b0b-7b6f-4b2e-a839-eb11eb83805d-1782148626997-2eobwv5t3.jpg"
43;"7e602e7d-97d2-4cf1-9c93-cef5398d72dc";"Abridor de garrafas .50";70,00;;"Churrasco";"Em até 1x sem juros nos cartões ou 5% OFF no Pix";"Abridor de garrafas em formato de cartucho .50 dourado.";"disponivel";"novo";"Marruá Empório";2;"imagens/43 - Abridor de garrafas .50";"imagens/43 - Abridor de garrafas .50/foto_01.jpeg | imagens/43 - Abridor de garrafas .50/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/7e602e7d-97d2-4cf1-9c93-cef5398d72dc-0-0.26456841961113853.jpeg"
44;"f7e8a3db-297b-44ff-8e95-378b0f1eb21f";"Canetas personalizadas";5,00;;"Papelaria";"";"Canetas diversos modelos com personalização. Consultar modelos e quantidades.";"disponivel";"novo";"Marruá Empório";9;"imagens/44 - Canetas personalizadas";"imagens/44 - Canetas personalizadas/foto_01.jpeg | imagens/44 - Canetas personalizadas/foto_02.jpeg | imagens/44 - Canetas personalizadas/foto_03.jpeg | imagens/44 - Canetas personalizadas/foto_04.jpeg | imagens/44 - Canetas personalizadas/foto_05.jpeg | imagens/44 - Canetas personalizadas/foto_06.jpeg | imagens/44 - Canetas personalizadas/foto_07.jpeg | imagens/44 - Canetas personalizadas/foto_08.jpeg | imagens/44 - Canetas personalizadas/foto_09.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/f7e8a3db-297b-44ff-8e95-378b0f1eb21f-2-0.9144136326653524.jpeg"
45;"5f8825f4-bf4a-48e4-9e29-4a236889b137";"Cuia Porongo";60,00;;"Chimarrão";"";"Cuia porongo personalizável.";"disponivel";"novo";"Marruá Empório";2;"imagens/45 - Cuia Porongo";"imagens/45 - Cuia Porongo/foto_01.jpg | imagens/45 - Cuia Porongo/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/5f8825f4-bf4a-48e4-9e29-4a236889b137-1-0.9186853879728815.jpg"
46;"3477c041-5ee0-45a3-bea1-f2bb5162f564";"Canivete";110,00;;"Canivete";"";"Canivete em aço inoxidável escovado com clip de bolso.";"disponivel";"novo";"Marruá Empório";3;"imagens/46 - Canivete";"imagens/46 - Canivete/foto_01.jpeg | imagens/46 - Canivete/foto_02.jpg | imagens/46 - Canivete/foto_03.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/3477c041-5ee0-45a3-bea1-f2bb5162f564-0-0.30953504691384415.jpeg"
47;"0749a25f-c82e-49b7-af55-421cc7c0d736";"Bomba de chimarrão";60,00;;"Chimarrão";"";"Bomba de chimarrão em aço inoxidável e limpador com cerdas.";"disponivel";"novo";"Marruá Empório";1;"imagens/47 - Bomba de chimarrão";"imagens/47 - Bomba de chimarrão/foto_01.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/product/d067d5fa-8c5a-47cf-8ad9-86649aad37f5/product-0749a25f-c82e-49b7-af55-421cc7c0d736-1782393864303-sxmxutzjg.jpg"
48;"e2363ee6-a583-48a8-98d5-7a0fe089511b";"Faca curva 6"" com caixa";240,00;;"Facas";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Faca curva em aço carbono, inox, fosfotizada, 6"" com caixa em MDF com pintura black.";"disponivel";"novo";"Marruá Empório";2;"imagens/48 - Faca curva 6_ com caixa";"imagens/48 - Faca curva 6_ com caixa/foto_01.jpg | imagens/48 - Faca curva 6_ com caixa/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/e2363ee6-a583-48a8-98d5-7a0fe089511b-0-0.3022544741046981.jpg"
49;"0ba6547f-ded6-49c9-b1ad-d9da90816491";"Pazinha de raiz";55,00;;"Chimarrão";"";"Pazinha para plantio em aço inoxidável e embalagem em pano com velcro.";"disponivel";"novo";"Marruá Empório";2;"imagens/49 - Pazinha de raiz";"imagens/49 - Pazinha de raiz/foto_01.jpg | imagens/49 - Pazinha de raiz/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/product/d067d5fa-8c5a-47cf-8ad9-86649aad37f5/product-0ba6547f-ded6-49c9-b1ad-d9da90816491-1782393831090-07zc8cd6m.jpg"
50;"bcfe21e7-7bad-416f-9251-ecdb58c8ac02";"Pano de Batida";135,00;;"Agrônomo";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Pano de batida, tecido removível para limpeza, Haste de alumínio leve e durável.";"disponivel";"novo";"Marruá Empório";3;"imagens/50 - Pano de Batida";"imagens/50 - Pano de Batida/foto_01.webp | imagens/50 - Pano de Batida/foto_02.jpeg | imagens/50 - Pano de Batida/foto_03.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/bcfe21e7-7bad-416f-9251-ecdb58c8ac02-0-0.7968511038747081.webp"
51;"b808d326-6178-40dc-ba2c-adfd84ed6841";"Chaveiro Milho";17,00;;"Chaveiros";"";"Chaveiro formato milho, mosquetão, zamac.";"disponivel";"novo";"Marruá Empório";1;"imagens/51 - Chaveiro Milho";"imagens/51 - Chaveiro Milho/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/b808d326-6178-40dc-ba2c-adfd84ed6841-0-0.537293031276627.jpeg"
52;"76f31aca-42b4-4d1a-95fa-29cafbd2d41a";"Chaveiro culturas";17,00;;"Chaveiros";"";"Chaveiro Milho e Soja com placa para personalização, zamac.";"disponivel";"novo";"Marruá Empório";1;"imagens/52 - Chaveiro culturas";"imagens/52 - Chaveiro culturas/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/76f31aca-42b4-4d1a-95fa-29cafbd2d41a-0-0.6648648293551975.jpeg"
53;"1ec181b5-6338-4d93-91e1-bde02b47dd16";"Kit Social";160,00;;"Kits";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Kit social, carteira de couro legítimo, canivete com cabo de madeira e clip de bolso, chaveiro abridor de garrafas e estojo em MDF com pintura black.";"disponivel";"novo";"Marruá Empório";3;"imagens/53 - Kit Social";"imagens/53 - Kit Social/foto_01.jpg | imagens/53 - Kit Social/foto_02.jpg | imagens/53 - Kit Social/foto_03.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/product/d067d5fa-8c5a-47cf-8ad9-86649aad37f5/product-1ec181b5-6338-4d93-91e1-bde02b47dd16-1782394380334-546meciee.jpg"
54;"640bd3d3-b798-45fb-a430-7289ad5c5812";"Chaveiro Soja e Moeda";17,00;;"Chaveiros";"";"Chaveiro com Soja e moeda para personalização.";"disponivel";"novo";"Marruá Empório";1;"imagens/54 - Chaveiro Soja e Moeda";"imagens/54 - Chaveiro Soja e Moeda/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/640bd3d3-b798-45fb-a430-7289ad5c5812-0-0.2924942546117746.jpeg"
55;"50d7b72b-e27f-4ad9-95ca-efb83df5989a";"Chaveiro Couro Sintético";20,00;;"Chaveiros";"";"Chaveiro com borda em couro sintético e lâmina para personalização.";"disponivel";"novo";"Marruá Empório";1;"imagens/55 - Chaveiro Couro Sintético";"imagens/55 - Chaveiro Couro Sintético/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/50d7b72b-e27f-4ad9-95ca-efb83df5989a-0-0.24994086902373225.jpeg"
56;"36f5c300-a4f8-4adc-94ec-ba2e7e679a82";"Petisqueira Pioneer";240,00;;"Tábuas e Petisqueiras";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Petisqueira Pioneer, madeira peroba rosa em formato de espiga de milho.";"disponivel";"novo";"Marruá Empório";1;"imagens/56 - Petisqueira Pioneer";"imagens/56 - Petisqueira Pioneer/foto_01.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/36f5c300-a4f8-4adc-94ec-ba2e7e679a82-0-0.5347457099484529.jpg"
57;"38d9e7d9-6386-42c6-99ec-21753409d7ab";"Petisqueira Pioneer";80,00;;"Tábuas e Petisqueiras";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Petisqueira quadrada Pioneer em madeira teka.";"disponivel";"novo";"";1;"imagens/57 - Petisqueira Pioneer";"imagens/57 - Petisqueira Pioneer/foto_01.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/38d9e7d9-6386-42c6-99ec-21753409d7ab-0-0.5132028434798063.jpg"
58;"4d8b1741-37dd-4bfe-8f28-7956e761cad9";"Petisqueira Pioneer";80,00;;"Tábuas e Petisqueiras";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Petisqueira octogonal Pioneer em madeira teka.";"disponivel";"novo";"Marruá Empório";1;"imagens/58 - Petisqueira Pioneer";"imagens/58 - Petisqueira Pioneer/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/4d8b1741-37dd-4bfe-8f28-7956e761cad9-0-0.2657317962778172.jpeg"
59;"9d1895ea-8ae2-424d-83ba-1c409a2b4020";"Pelego de Ovelha";350,00;;"Decoração";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Pelego de Ovelha natural cobre leito para sofá e decoração.";"disponivel";"novo";"Marruá Empório";3;"imagens/59 - Pelego de Ovelha";"imagens/59 - Pelego de Ovelha/foto_01.jpg | imagens/59 - Pelego de Ovelha/foto_02.jpeg | imagens/59 - Pelego de Ovelha/foto_03.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/9d1895ea-8ae2-424d-83ba-1c409a2b4020-0-0.41612488980873097.jpg"
60;"0151bfc0-85a2-438d-a4ac-93dd4f2742d4";"Relógio Termo Higrômetro ";55,00;;"Agrônomo";"Em até 3x sem juros nos cartões ou 5% OFF no Pix";"Relógio Termo Higrômetro para medição de umidade do ar e também a temperatura.";"disponivel";"novo";"Marruá Empório";2;"imagens/60 - Relógio Termo Higrômetro";"imagens/60 - Relógio Termo Higrômetro/foto_01.jpg | imagens/60 - Relógio Termo Higrômetro/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/product/d067d5fa-8c5a-47cf-8ad9-86649aad37f5/product-0151bfc0-85a2-438d-a4ac-93dd4f2742d4-1782148592494-cq9fdd6x7.jpg"
61;"80ac5ab8-c726-4cbc-b1d2-38170c56d878";"Chaveiro inox";20,00;;"Chaveiros";"";"Chaveiro mosquetão em inox.";"disponivel";"novo";"Marruá Empório";1;"imagens/61 - Chaveiro inox";"imagens/61 - Chaveiro inox/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/80ac5ab8-c726-4cbc-b1d2-38170c56d878-0-0.8807098197099427.jpeg"
62;"838266bf-121c-40dd-b3a9-6db507cadd81";"Chaveiro Berrante";17,00;;"Chaveiros";"";"Chaveiro formato de berrante, zamac.";"disponivel";"novo";"Marruá Empório";1;"imagens/62 - Chaveiro Berrante";"imagens/62 - Chaveiro Berrante/foto_01.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/838266bf-121c-40dd-b3a9-6db507cadd81-0-0.7905831864633113.jpg"
63;"84983f9b-0935-4ce4-a9e9-743c908ae9d3";"Chaveiro Barqueiros";17,00;;"Chaveiros";"";"Chaveiro barqueiros, zamac.";"disponivel";"novo";"Marruá Empório";1;"imagens/63 - Chaveiro Barqueiros";"imagens/63 - Chaveiro Barqueiros/foto_01.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/84983f9b-0935-4ce4-a9e9-743c908ae9d3-0-0.715899237256676.jpeg"
64;"f704bf13-8c30-49a6-a796-4f9ffce83867";"Chaveiro Barqueiro";17,00;;"Chaveiros";"";"Chaveiro barqueiro, zamac.";"disponivel";"novo";"Marruá Empório";1;"imagens/64 - Chaveiro Barqueiro";"imagens/64 - Chaveiro Barqueiro/foto_01.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/f704bf13-8c30-49a6-a796-4f9ffce83867-0-0.49972154176571093.jpg"
65;"8f796888-c959-4a0b-94c5-5a0c4bdbfa36";"Carteira de Couro";60,00;;"Chaveiros";"";"Carteira de couro legítimo com personalização.";"disponivel";"novo";"Marruá Empório";2;"imagens/65 - Carteira de Couro";"imagens/65 - Carteira de Couro/foto_01.png | imagens/65 - Carteira de Couro/foto_02.png";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/8f796888-c959-4a0b-94c5-5a0c4bdbfa36-1-0.5544135035243297.png"
66;"deea40eb-d73a-4607-b6e7-2cc7060f7d4d";"Chaveiro Inox foto";35,00;;"Chaveiros";"";"Chaveiro moeda inox com gravação de foto.";"disponivel";"novo";"";2;"imagens/66 - Chaveiro Inox foto";"imagens/66 - Chaveiro Inox foto/foto_01.jpg | imagens/66 - Chaveiro Inox foto/foto_02.jpg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/deea40eb-d73a-4607-b6e7-2cc7060f7d4d-0-0.5999301811976302.jpg"
67;"996f464d-182c-4c49-a0d5-5203ca913a8e";"Caderno Moleskine";42,00;;"Papelaria";"";"Caderno moleskine com suporte para caneta 14x21 cm + caneta.";"disponivel";"novo";"Marruá Empório";2;"imagens/67 - Caderno Moleskine";"imagens/67 - Caderno Moleskine/foto_01.jpeg | imagens/67 - Caderno Moleskine/foto_02.jpeg";"https://ikvwygqmlqhsyqmpgaoz.supabase.co/storage/v1/object/public/public/products/996f464d-182c-4c49-a0d5-5203ca913a8e-0-0.37585548408626335.jpeg"
